Area Codes,All Ages
E01012083,"1,612"
E01012084,"1,638"
E01012085,"1,377"
E01012018,"1,498"
E01012019,"1,282"
E01012020,"1,579"
E01012021,"1,363"
E01012007,"1,452"
E01012008,"1,379"
E01012009,"1,812"
E01012010,"1,430"
E01012046,"1,727"
E01012047,"1,579"
E01012048,"1,749"
E01012049,"1,329"
E01012050,"1,537"
E01012051,"1,376"
E01012052,"1,253"
E01012022,"1,607"
E01012023,"1,381"
E01012024,"1,487"
E01012025,"1,243"
E01012065,"1,818"
E01012066,"1,937"
E01012067,"1,552"
E01012042,"1,317"
E01012043,"1,356"
E01012044,"1,546"
E01012045,"1,500"
E01032552,"1,664"
E01032553,"1,443"
E01012030,"1,562"
E01012031,"1,574"
E01012032,"1,641"
E01012033,"1,216"
E01012034,"1,450"
E01012035,"1,343"
E01012062,"1,440"
E01012063,"1,392"
E01012064,"2,445"
E01012071,"1,353"
E01012073,"1,391"
E01032593,"2,171"
E06000057,"319,030"
E01027376,"1,737"
E01027377,"1,683"
E01027385,"1,346"
E01027387,"1,772"
E01027388,"1,395"
E01027389,"1,653"
E01027378,"1,227"
E01027379,"1,451"
E01027380,"1,395"
E01027382,"1,623"
E01027386,"1,344"
E01027374,"1,993"
E01027375,"1,858"
E01027381,"1,869"
E01027383,"1,228"
E01027384,"1,434"
E01027390,"2,060"
E01027356,"1,766"
E01027357,"1,244"
E01027366,"1,454"
E01027367,"1,824"
E01027358,"1,944"
E01027359,"2,313"
E01033715,"1,043"
E01033717,"1,542"
E01027361,"1,942"
E01027362,"1,559"
E01027363,"1,282"
E01027364,"1,826"
E01027370,"1,747"
E01027371,"1,873"
E01027372,"2,227"
E01027365,"2,293"
E01027368,"1,723"
E01027369,"1,544"
E01027373,"1,908"
E01027443,"1,449"
E01027444,"2,508"
E01027445,"1,566"
E01027446,"1,315"
E01027451,"1,784"
E01027474,"1,963"
E01027475,"1,409"
E01027541,"1,670"
E01027542,"1,789"
E01027543,"1,367"
E01027544,"1,306"
E01027528,"1,405"
E01027529,"1,116"
E01027539,"1,688"
E01027545,"1,981"
E01027546,"1,627"
E01027457,"1,759"
E01027462,"1,883"
E01027463,"1,812"
E01027524,"1,702"
E01027525,"1,630"
E01027526,"1,158"
E01027527,"1,356"
E01027536,"1,357"
E01027533,"1,671"
E01027540,"1,962"
E01027549,"2,009"
E01033716,"2,395"
E01027532,"1,918"
E01027537,"1,369"
E01027538,"1,771"
E01027447,"1,787"
E01027448,"2,051"
E01027450,"1,639"
E01027473,"2,016"
E01027452,"1,344"
E01027453,"1,402"
E01027461,"1,275"
E01033718,"2,141"
E01027530,"1,379"
E01027531,"1,725"
E01027534,"1,811"
E01027535,"1,368"
E01027553,"1,662"
E01027554,"1,308"
E01027455,"1,478"
E01027456,"1,264"
E01027458,"1,917"
E01027460,"1,720"
E01027479,"2,271"
E01027480,"1,306"
E01027503,"1,635"
E01027511,"1,106"
E01027515,"1,480"
E01027517,"1,909"
E01027518,"1,520"
E01027519,"1,388"
E01027550,"1,260"
E01027551,"1,508"
E01027552,"1,182"
E01027514,"1,692"
E01027516,"1,174"
E01027520,"1,549"
E01027521,"1,589"
E01027522,"1,279"
E01027523,"1,155"
E01027392,"1,649"
E01027393,"1,621"
E01027416,"1,662"
E01027424,"2,027"
E01027414,"1,423"
E01027415,"1,575"
E01027431,"1,661"
E01027441,"2,904"
E01027442,"1,562"
E01027391,"1,477"
E01027422,"1,791"
E01027423,"1,506"
E01027429,"1,861"
E01027430,"1,570"
E01027425,"3,241"
E01027426,"1,653"
E01027427,"1,737"
E01027428,"1,468"
E01027437,"1,754"
E01027438,"1,374"
E01027439,"1,855"
E01027440,"1,423"
E01027400,"1,321"
E01027401,"1,465"
E01027402,"1,248"
E01027403,"1,210"
E01027395,"1,593"
E01027396,"1,339"
E01027397,"1,429"
E01027399,"1,454"
E01027404,"1,483"
E01027405,"1,375"
E01027398,"2,307"
E01027409,"1,469"
E01027411,"1,481"
E01027412,"1,526"
E01027413,"1,961"
E01027417,"1,491"
E01027418,"1,902"
E01027419,"1,549"
E01027420,"1,352"
E01027421,"1,364"
E01027394,"1,070"
E01027406,"1,243"
E01027407,"1,227"
E01027408,"1,352"
E01027410,"1,553"
E01027432,"1,620"
E01027433,"2,446"
E01027434,"1,354"
E01027435,"1,393"
E01027436,"1,614"
E01027464,"1,341"
E01027465,"1,511"
E01027466,"1,369"
